,titres,liens,composes
59,"<a class=""omnitureproductlink product-image-link"" href=""/robe-volantee-a-fleurs-fille-detail-matelasse-fantaisie-bleu-ciel.htm?ProductId=341003426&amp;FiltreCouleur=0511&amp;t=1"">Robe volantée à fleurs fille détail matelassé fantaisie -...</a>",/robe-volantee-a-fleurs-fille-detail-matelasse-fantaisie-bleu-ciel.htm?ProductId=341003426&FiltreCouleur=0511&t=1,['100% coton']
60,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-robes-basics-a-bretelles-fille-1-imprimee-1-unie-lot-jaune-imprime-fleurs-jau.htm?ProductId=702130841&amp;FiltreCouleur=6481&amp;t=1"">Lot de 2 robes Basics à bretelles fille 1 imprimée + 1 unie...</a>",/lot-de-2-robes-basics-a-bretelles-fille-1-imprimee-1-unie-lot-jaune-imprime-fleurs-jau.htm?ProductId=702130841&FiltreCouleur=6481&t=1,[]
61,"<a class=""omnitureproductlink product-image-link"" href=""/robe-basics-imprimee-fille-manches-courtes-jaune-clair-imprime-coeurs.htm?ProductId=702130698&amp;FiltreCouleur=6466&amp;t=1"">Robe Basics imprimée fille manches courtes - jaune clair...</a>",/robe-basics-imprimee-fille-manches-courtes-jaune-clair-imprime-coeurs.htm?ProductId=702130698&FiltreCouleur=6466&t=1,[]
62,"<a class=""omnitureproductlink product-image-link"" href=""/ensemble-2-pieces-robe-et-legging-fille-details-irises-vert-emeraude.htm?ProductId=702030386&amp;FiltreCouleur=1309&amp;t=1"">Ensemble 2 pièces robe et legging fille détails irisés -...</a>",/ensemble-2-pieces-robe-et-legging-fille-details-irises-vert-emeraude.htm?ProductId=702030386&FiltreCouleur=1309&t=1,"['96% coton', '4% élasthanne']"
63,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-jogging-basics-fille-en-molleton-bleu-ardoise.htm?ProductId=702081082&amp;FiltreCouleur=6410&amp;t=1"">Pantalon jogging Basics fille en molleton - bleu ardoise</a>",/pantalon-jogging-basics-fille-en-molleton-bleu-ardoise.htm?ProductId=702081082&FiltreCouleur=6410&t=1,"['52% coton', '47% polyester', '1% viscose', '70% coton', '26% polyester', '4% viscose']"
64,"<a class=""omnitureproductlink product-image-link"" href=""/pantacourt-fluide-fille-rose-clair-imprime.htm?ProductId=702081048&amp;FiltreCouleur=6626&amp;t=1"">Pantacourt fluide fille - rose clair imprimé</a>",/pantacourt-fluide-fille-rose-clair-imprime.htm?ProductId=702081048&FiltreCouleur=6626&t=1,[]
65,"<a class=""omnitureproductlink product-image-link"" href=""/pantalon-jogging-basics-fille-en-molleton-gris-clair-chine.htm?ProductId=702081082&amp;FiltreCouleur=6423&amp;t=1"">Pantalon jogging Basics fille en molleton - gris clair chine</a>",/pantalon-jogging-basics-fille-en-molleton-gris-clair-chine.htm?ProductId=702081082&FiltreCouleur=6423&t=1,"['52% coton', '47% polyester', '1% viscose', '70% coton', '26% polyester', '4% viscose']"
66,"<a class=""omnitureproductlink product-image-link"" href=""/robe-zippee-manches-boules-fille-terracotta.htm?ProductId=341004940&amp;FiltreCouleur=1214&amp;t=1"">Robe zippée manches boules fille - terracotta</a>",/robe-zippee-manches-boules-fille-terracotta.htm?ProductId=341004940&FiltreCouleur=1214&t=1,"['80% coton', '20% polyester']"
67,"<a class=""omnitureproductlink product-image-link"" href=""/jean-slim-morphologik-waterless-fille-tour-de-hanches-medium-avec-usures-denim-black.htm?ProductId=702080997&amp;FiltreCouleur=6559&amp;t=1"">Jean slim MorphologiK ""waterless"" fille tour de hanches...</a>",/jean-slim-morphologik-waterless-fille-tour-de-hanches-medium-avec-usures-denim-black.htm?ProductId=702080997&FiltreCouleur=6559&t=1,"['98% coton', '2% élasthanne']"
68,"<a class=""omnitureproductlink product-image-link"" href=""/pantacourt-en-gaze-de-coton-fille-blush.htm?ProductId=702081052&amp;FiltreCouleur=1105&amp;t=1"">Pantacourt en gaze de coton fille - blush</a>",/pantacourt-en-gaze-de-coton-fille-blush.htm?ProductId=702081052&FiltreCouleur=1105&t=1,[]
69,"<a class=""omnitureproductlink product-image-link"" href=""/robe-de-ceremonie-volantee-dos-nu-fille-bleu-ciel.htm?ProductId=341003669&amp;FiltreCouleur=0511&amp;t=1"">Robe de cérémonie volantée dos nu fille - bleu ciel</a>",/robe-de-ceremonie-volantee-dos-nu-fille-bleu-ciel.htm?ProductId=341003669&FiltreCouleur=0511&t=1,"['100% coton', '100% coton']"
70,"<a class=""omnitureproductlink product-image-link"" href=""/lot-de-2-leggings-basics-fille-mi-mollets-mauve.htm?ProductId=700050098&amp;FiltreCouleur=1404&amp;t=1"">Lot de 2 leggings Basics fille mi-mollets - mauve</a>",/lot-de-2-leggings-basics-fille-mi-mollets-mauve.htm?ProductId=700050098&FiltreCouleur=1404&t=1,"['95% coton', '5% élasthanne', '91% coton', '5% viscose', '4% élasthanne']"
71,"<a class=""omnitureproductlink product-image-link"" href=""/robe-boutonnee-en-coton-lin-fille-encre.htm?ProductId=341005052&amp;FiltreCouleur=0529&amp;t=1"">Robe boutonnée en coton/lin fille - encre</a>",/robe-boutonnee-en-coton-lin-fille-encre.htm?ProductId=341005052&FiltreCouleur=0529&t=1,"['70% coton', '30% lin']"
72,"<a class=""omnitureproductlink product-image-link"" href=""/tregging-brode-en-molleton-effet-denim-fille-denim-gris.htm?ProductId=702081026&amp;FiltreCouleur=0614&amp;t=1"">Tregging brodé en molleton effet denim fille - denim gris</a>",/tregging-brode-en-molleton-effet-denim-fille-denim-gris.htm?ProductId=702081026&FiltreCouleur=0614&t=1,"['67% coton', '31% polyester', '2% élasthanne']"
73,"<a class=""omnitureproductlink product-image-link"" href=""/robe-a-smocks-imprimee-fleurs-fille-rose-nude.htm?ProductId=341003984&amp;FiltreCouleur=1114&amp;t=1"">Robe à smocks imprimée fleurs fille - rose nude</a>",/robe-a-smocks-imprimee-fleurs-fille-rose-nude.htm?ProductId=341003984&FiltreCouleur=1114&t=1,['100% coton']
